,Alignment,Character,Combat,Durability,Full_name,Gender,IQ,Intelligence,Level,Omnipotent,Power,Speed,Speed_velocity,Strength,Strength_force,Tier,Universe
0,Good,Alucard,80,35,,Male,140,70,3,0,60,30,2000,30,100000,2,C17S
1,Good,Alucard,80,35,,Male,140,70,3,0,60,30,2000,30,100000,2,C17S
2,Good,Alucard,90,100,,Male,160,80,6,0,100,100,1000000000,100,1000000000,7,Castlevania
3,Good,Alucard,90,100,,Male,160,80,6,0,100,100,1000000000,100,1000000000,7,Castlevania
4,Good,Alucard,100,45,,Male,140,70,3,0,80,50,10000,50,400000,2,ML
5,Good,Alucard,100,45,,Male,140,70,3,0,80,50,10000,50,400000,2,ML
6,Neutral,Bayonetta,90,75,,Female,155,80,5,0,100,50,2997925,55,1000000,4,Bayonetta
7,Neutral,Bayonetta,90,75,,Female,155,80,5,0,100,50,2997925,55,1000000,4,Bayonetta
8,Good,Adam,40,15,,Male,110,55,1,0,35,10,18,25,8000,1,The Hollow
9,Good,Adam,40,15,,Male,110,55,1,0,35,10,18,25,8000,1,The Hollow
10,Bad,Alessi,11,5,,Male,98,50,1,0,35,1,2,1,83,1,JJBA
11,Bad,Alessi,11,5,,Male,98,50,1,0,35,1,2,1,83,1,JJBA
12,Bad,Alessi,11,5,,Male,98,50,1,0,35,1,2,1,83,1,JJBA
13,Bad,Bad Ben,60,60,,Male,130,65,3,0,70,80,290000000,50,400000,4,
14,Bad,Bad Ben,60,60,,Male,130,65,3,0,70,80,290000000,50,400000,4,
15,Bad,Bad Ben,60,60,,Male,130,65,3,0,70,80,290000000,50,400000,4,
16,Bad,Aldrich Killian,60,25,,Male,150,75,2,0,50,6,10,5,200,1,Earth-13122
17,Bad,Aldrich Killian,60,25,,Male,150,75,2,0,50,6,10,5,200,1,Earth-13122
18,Bad,Aldrich Killian,60,25,,Male,150,75,2,0,50,6,10,5,200,1,Earth-13122
19,Good,Alpha-Hydranoid,60,100,Alpha-Hydranoid,Male,160,80,5,0,100,100,1000000000,100,1000000000,7,Bakugan
20,Good,Alpha-Hydranoid,60,100,Alpha-Hydranoid,Male,160,80,5,0,100,100,1000000000,100,1000000000,7,Bakugan
21,,Alphamon,100,100,,,160,80,6,0,90,100,1000000000,100,1000000000,7,Digimon
22,,Alphamon,100,100,,,160,80,6,0,90,100,1000000000,100,1000000000,7,Digimon
23,,Alphamon,100,100,,,160,80,6,0,90,100,1000000000,100,1000000000,7,Digimon
24,Good,Alphonse Elric,80,15,,Male,150,75,2,0,50,25,500,25,1000,1,FMA
25,Good,Alphonse Elric,80,15,,Male,150,75,2,0,50,25,500,25,1000,1,FMA
26,Good,Batwoman,80,15,Stephanie Brown,Female,150,75,1,0,15,6,10,1,120,1,Earth 3
27,Good,Batwoman,80,15,Stephanie Brown,Female,150,75,1,0,15,6,10,1,120,1,Earth 3
28,Neutral,Android 16,100,75,,Male,180,90,3,0,55,80,265000000,100,1000000000,5,DB
29,Neutral,Android 16,100,75,,Male,180,90,3,0,55,80,265000000,100,1000000000,5,DB
30,Neutral,Android 16,100,75,,Male,180,90,3,0,55,80,265000000,100,1000000000,5,DB
31,Good,Android 17,100,100,,Male,130,65,5,0,85,100,1000000000,100,1000000000,6,DB
32,Good,Android 17,100,100,,Male,130,65,5,0,85,100,1000000000,100,1000000000,6,DB
33,Good,Anton (Cosmoball),45,35,,Male,110,55,3,0,55,80,300000000,30,100000,3,
34,Good,Anton (Cosmoball),45,35,,Male,110,55,3,0,55,80,300000000,30,100000,3,
35,Good,Anton (Cosmoball),45,35,,Male,110,55,3,0,55,80,300000000,30,100000,3,
36,Neutral,Archangel,60,25,,Male,110,55,2,0,55,25,343,6,250,1,EMCU
37,Neutral,Archangel,60,25,,Male,110,55,2,0,55,25,343,6,250,1,EMCU
38,Bad,Archangel,30,10,,Male,115,60,1,0,50,25,806,6,227,2,Earth-8096
39,Bad,Archangel,30,10,,Male,115,60,1,0,50,25,806,6,227,2,Earth-8096
40,Good,Asaka Narumi,80,10,,Female,150,75,3,0,50,6,10,1,100,1,Cv
41,Good,Asaka Narumi,80,10,,Female,150,75,3,0,50,6,10,1,100,1,Cv
42,Good,Asaka Narumi,80,10,,Female,150,75,3,0,50,6,10,1,100,1,Cv
43,Bad,Augusto Gaez,60,10,,Male,110,55,1,0,5,6,10,1,150,1,Chuck
44,Bad,Augusto Gaez,60,10,,Male,110,55,1,0,5,6,10,1,150,1,Chuck
45,,Augustus Giovanni,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
46,,Augustus Giovanni,100,100,,,200,100,6,0,100,100,1000000000,100,1000000000,9,WOD
47,Bad,Augustus Rookwood,45,10,,Male,120,60,3,0,40,1,7,1,100,2,
48,Bad,Augustus Rookwood,45,10,,Male,120,60,3,0,40,1,7,1,100,2,
49,Bad,Augustus Rookwood,45,10,,Male,120,60,3,0,40,1,7,1,100,2,
50,Bad,Alduin,50,100,,Male,200,100,6,0,100,100,1000000000,100,1000000000,6,TES
51,Bad,Alduin,50,100,,Male,180,90,6,0,100,100,1000000000,100,1000000000,8,TES
52,Bad,Alduin,50,100,,Male,180,90,6,0,100,100,1000000000,100,1000000000,8,TES
53,Good,Alea,75,20,,Female,120,60,1,0,30,11,20,25,10000,1,Earth-50
54,Good,Alea,75,20,,Female,120,60,2,0,30,11,20,25,10000,1,Earth-50
55,Good,Alea,75,20,,Female,120,60,2,0,30,11,20,25,10000,1,Earth-50
56,Good,Alec,75,20,331845739494,Male,170,85,1,0,40,25,50,25,2000,1,Dark Angel
57,Good,Alec,75,20,331845739494,Male,170,85,2,0,40,25,50,25,2000,1,Dark Angel
58,Good,Alec,75,20,331845739494,Male,170,85,2,0,40,25,50,25,2000,1,Dark Angel
59,Good,Alrund (God of the Cosmos),80,70,,Male,180,90,4,0,90,20,40,75,5000000,5,MtG
60,Good,Alrund (God of the Cosmos),80,70,,Male,180,90,4,0,90,20,40,75,5000000,5,MtG
61,Good,Alrund (God of the Cosmos),80,70,,Male,180,90,4,0,90,20,40,75,5000000,5,MtG
62,Good,Altaïr,95,9,Alta�r Ibn-La'Ahad,Male,150,75,2,0,30,20,40,5,200,1,AC
63,Good,Altaïr,90,15,Alta�r Ibn-La'Ahad,Male,150,75,2,0,50,7,12,5,200,1,AC
64,Good,Altaïr,90,15,Alta�r Ibn-La'Ahad,Male,150,75,2,0,50,7,12,5,200,1,AC
65,Bad,Altair (Military Uniform Princess),100,100,Altair,Female,200,100,6,0,95,80,321000232,95,880443342,8,
66,Bad,Altair (Military Uniform Princess),100,100,Altair,Female,200,100,6,0,95,80,321000232,95,880443342,8,
67,Bad,Altair (Military Uniform Princess),100,100,Altair,Female,200,100,6,0,95,80,321000232,95,880443342,8,
68,Bad,Batzarro,20,10,Wayne Bruce,Male,40,20,1,0,30,6,10,1,100,1,Earth-29
69,Bad,Batzarro,20,10,Wayne Bruce,Male,40,20,1,0,30,6,10,1,100,1,Earth-29
70,Good,Android 18,95,85,,Female,115,60,3,0,90,100,999990000,95,880000000,5,DB
71,Good,Android 18,95,85,,Female,115,60,3,0,90,100,999990000,95,880000000,5,DB
72,Bad,Android 19,90,60,,-,160,80,3,0,45,75,117500000,100,1000000000,4,DB
73,Bad,Android 19,90,60,,-,160,80,3,0,45,75,117500000,100,1000000000,4,DB
74,Bad,Android 19,90,60,,-,160,80,3,0,45,75,117500000,100,1000000000,4,DB
75,Bad,Actrise,80,100,,Male,160,80,6,0,100,100,1000000000,100,1000000000,7,Castlevania
76,Bad,Actrise,80,100,,Male,160,80,6,0,100,100,1000000000,100,1000000000,7,Castlevania
77,Bad,Actrise,80,100,,Male,160,80,6,0,100,100,1000000000,100,1000000000,7,Castlevania
78,Neutral,Ad-W4,65,30,,Other,133,65,1,0,25,25,57,25,2400,3,Star Wars
79,Neutral,Ad-W4,65,30,,Other,133,65,1,0,25,25,57,25,2400,3,Star Wars
